1	1/SN

역사상	역사상/NNG
우리는	우리/NP + 는/JX
과학혁명이라고	과학/NNG + 혁명/NNG + 이라고/JKQ
부를	부르/VV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
크고	크/VA + 고/EC
작은	작/VA + 은/ETM
많은	많/VA + 은/ETM
과학상의	과학상/NNG + 의/JKG
변혁을	변혁/NNG + 을/JKO
볼	보/VV + ㄹ/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

16,17	16/SN + ,/SP + 17/SN
세기의	세기/NNG + 의/JKG
<과학혁명>	</SS + 과학/NNG + 혁명/NNG + >/SS
동안에는	동안/NNG + 에/JKB + 는/JX
천문학,	천문학/NNG + ,/SP
역학,	역학/NNG + ,/SP
생리학	생리학/NNG
등의	등/NNB + 의/JKG
과학	과학/NNG
분야의	분야/NNG + 의/JKG
내용에	내용/NNG + 에/JKB
획기적인	획기적/NNG + 이/VCP + ㄴ/ETM
전환이	전환/NNG + 이/JKS
있었고	있/VV + 었/EP + 고/EC
다른	다른/MM
여러	여러/MM
분야들에도	분야/NNG + 들/XVPN + 에/JKB + 도/JX
새로운	새롭/VA + ㄴ/ETM
조류들을	조류/NNG + 들/XSN + 을/JKO
찾아볼	찾아보/VV + ㄹ/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

또	또/MAG
과학혁명은	과학/NNG + 혁명/NNG + 은/JX
비단	비단/MAG
과학의	과학/NNG + 의/JKG
내용에만	내용/NNG + 에/JKB + 만/JX
국한되지	국한/NNG + 되/XSV + 지/EC
않고,	않/VX + 고/EC + ,/SP
과학의	과학/NNG + 의/JKG
방법,	방법/NNG + ,/SP
목적	목적/NNG
및	및/MAJ
그	그/MM
사회적	사회적/NNG
위치에도	위치/NNG + 에/JKB + 도/JX
큰	크/VA + ㄴ/ETM
변화가	변화/NNG + 가/JKS
있었으며,	있/VV + 었/EP + 으며/EC + ,/SP
이	이/MM
밖에도	밖/NNG + 에/JKB + 도/JX
많은	많/VA + 은/ETM
사상적,	사상적/NNG + ,/SP
사회적인	사회적/NNG + 이/VCP + ㄴ/ETM
변화를	변화/NNG + 를/JKO
그	그/MM
배경	배경/NNG
또는	또는/MAG
결과로서	결과/NNG + 로서/JKB
수반했다.	수반/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이	이/MM
책은	책/NNG + 은/JX
바로	바로/MAG
이	이/MM
16,17	16/SN + ,/SP + 17/SN
세기의	세기/NNG + 의/JKG
과학혁명을	과학/NNG + 혁명/NNG + 을/JKO
주제로	주제/NNG + 로/JKB
한다.	하/VV + ㄴ다/EF + ./SF

과학혁명은	과학/NNG + 혁명/NNG + 은/JX
유럽문화	유럽/NNP + 문화/NNG
전체에	전체/NNG + 에/JKB
배경을	배경/NNG + 을/JKO
두고	두/VV + 고/EC
유럽문화	유럽/NNP + 문화/NNG
전체에	전체/NNG + 에/JKB
걸쳐서	걸치/VV + 어서/EC
영향을	영향/NNG + 을/JKO
미친	미치/VV + ㄴ/ETM
혁명적인	혁명적/NNG + 이/VCP + ㄴ/ETM
